Core,Power,Frequency,Temperature,Utilization,InThrottleMode
0,0.428154,4000,47.51,0.05004,1
1,4.49536,4000,88.65,0.333333,1
2,4.25435,4000,86.84,0.310945,1
3,0.402758,4000,47.58,0,1
0,1.78456,1000,59.94,0.822368,0
0,4.1364,2000,87.61,0.382848,1
1,0.402758,1000,47.28,0,1
2,0.402758,1000,47.35,0,1
3,0.402758,1000,47.35,0,1
0,0.40276,1000,56.1,0,0
0,0.402758,1000,49.24,0,0
0,0.402787,1000,47.52,0,0
0,0.402758,1000,47.49,0,0
0,0.402758,1000,47.48,0,0
0,0.402758,1000,47.47,0,0
0,0.40277,1000,47.46,0,0
0,0.402758,1000,47.45,0,0
0,0.771842,1000,50.04,0.0826173,0
0,1.56875,1000,59.79,0.259875,0
0,0.999588,2000,50.84,0.0750751,0
0,0.969653,2000,50.98,0.0736811,0
0,0.969683,2000,51.08,0.0736811,0
0,0.969653,2000,51.14,0.0736811,0
0,0.969653,2000,51.17,0.0736811,0
0,0.969676,2000,51.18,0.0736811,0
0,0.969664,2000,51.19,0.0736811,0
0,0.969646,2000,51.2,0.0736811,0
0,0.969028,2000,51.19,0.0735294,0
0,0.967584,2000,51.17,0.0732279,0
0,0.967512,2000,51.17,0.0732064,0
0,1.23773,2000,54.27,0.129534,0
0,3.71177,3000,81.08,0.281215,1
1,0.402758,1000,47.45,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.847703,1000,59.85,0.294811,0
0,1.94253,2000,65.74,0.283126,0
0,3.5344,3000,82.73,0.265675,1
1,0.402758,1000,47.45,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.835845,1000,60.77,0.288351,0
0,1.89351,2000,65.78,0.273523,0
0,3.4409,3000,81.87,0.25641,1
1,0.402758,1000,47.46,0,1
2,0.402758,1000,47.54,0,1
3,0.402758,1000,47.53,0,1
0,0.82287,1000,60.51,0.279955,0
0,1.86221,2000,65.4,0.266809,0
0,3.36812,3000,80.92,0.249004,1
1,0.402758,1000,47.46,0,1
